dnum,sales,pool,ev_expost,ev_exante
2015146,368273034,1307571540,5.4087,-1.1513
2015147,331495570,1187906265,4.5833,-1.6898
2015148,330278892,1127755566,4.5743,-1.6835
2015149,368458204,960924480,4.5563,-1.7006
2015150,333813118,1022632570,4.8738,-1.4350
2015151,350309390,1050789000,4.9963,-1.4978
2015152,392322240,1026723516,4.7423,-1.6495
2015153,348341018,999785925,4.6968,-1.6512
2015154,364605498,984457630,4.7394,-1.6384
2016001,388445976,1022461915,4.9177,-1.4583
2016002,343096096,1049581785,4.8025,-1.5033
2016003,351825302,1047367656,4.7313,-1.6181
2016004,376467244,1053582237,4.6844,-1.6007
2016005,347622842,816820648,4.8201,-1.6999
2016006,357519610,880487026,5.0377,-1.4340
2016007,398316866,864189106,4.6700,-1.6451
2016008,355411856,893240990,5.0085,-1.4941
2016009,341116278,937517775,5.0791,-1.4336
2016010,359088730,922316332,4.7563,-1.6364
2016011,332990472,752133812,4.5975,-1.6959
2016012,336562836,800780176,5.0065,-1.4341
2016013,370420948,860575404,5.0373,-1.4341
2016014,321027466,667745460,4.6260,-1.7024
2016015,346224370,692442990,4.9255,-1.5124
2016016,316931514,721026255,4.9482,-1.4962
2016017,293890064,698821392,4.6433,-1.6526
2016018,316712952,725711885,4.9612,-1.5030
2016019,354746834,497880207,4.5579,-1.7066
2016020,317041006,540251214,4.9712,-1.4343
2016021,330776764,567576885,4.8335,-1.5023
2016022,370206784,574633808,4.7335,-1.5964
2016023,337590682,552702346,4.6509,-1.6468
2016024,344808140,551044179,4.7068,-1.6183
2016025,379126514,497263041,4.5840,-1.6731
2016026,329158276,573762988,4.4999,-1.4337
2016027,337818690,607947604,4.8776,-1.4392
2016028,370238316,639478896,4.7876,-1.5222
2016029,347727124,673974740,4.9771,-1.4721
2016030,351985986,202797966,4.5188,-1.7138
2016031,385818800,190281234,4.6903,-1.6343
2016032,339342300,228889010,4.9217,-1.4557
2016033,338637474,296662312,4.9920,-1.4342
2016034,380415644,388316232,5.0519,-1.4340
2016035,343407218,378328346,4.6783,-1.6332
2016036,348368584,439352386,4.9810,-1.4343
2016037,350165940,494817840,5.0325,-1.4340
2016038,325081790,530930396,4.9019,-1.4348
2016039,335090614,568328305,4.8849,-1.4609
2016040,365246422,568128108,4.7418,-1.6147
2016041,330501352,612243516,4.9973,-1.4342
2016042,334864386,589832826,4.6597,-1.6564
2016043,364494720,605438772,4.8571,-1.5606
2016044,335979238,632010456,4.8433,-1.5233
2016045,336323174,696734182,5.0291,-1.4340
2016046,364459490,779578465,4.4793,-1.4340
2016047,324937604,806292000,4.8297,-1.5048
2016048,329538828,830538816,4.8688,-1.5310
2016049,330279014,796447605,4.6492,-1.6612
2016050,308889140,823767052,4.9014,-1.4739
2016051,324257380,872097902,5.1163,-1.4333
2016052,353216208,876129336,4.7243,-1.6076
2016053,320149454,903222855,4.8370,-1.5031
2016054,324349586,914302376,4.7291,-1.5861
2016055,350383284,902490160,4.6539,-1.6368
2016056,326490562,925399830,4.7958,-1.5361
2016057,325499780,915017488,4.6520,-1.6341
2016058,357296334,981243730,4.9710,-1.4344
2016059,322601954,989524476,4.7572,-1.5954
2016060,320540202,914524470,4.5068,-1.7178
2016061,340147518,835286844,4.6050,-1.6921
2016062,305198008,865680358,4.9065,-1.4347
2016063,304409952,910497831,4.3719,-1.4345
2016064,332534594,900497807,4.7349,-1.6328
2016065,298326848,945654750,4.9952,-1.4340
2016066,275334312,921254130,4.6019,-1.6649
2016067,327487486,946443820,4.8728,-1.5107
2016068,295768168,991629338,5.1010,-1.4331
2016069,300232584,1001117928,4.7272,-1.5821
2016070,326894102,1023740893,4.7546,-1.5483
2016071,293734448,1061458288,5.0481,-1.4336
2016072,290670126,1100767568,4.9957,-1.4340
2016073,327032018,1116225045,4.8624,-1.5504
2016074,297584738,838131500,4.5920,-1.7066
2016075,295574016,890340179,4.4462,-1.4339
2016076,331977974,917666478,4.8947,-1.5204
2016077,294629008,933341379,4.8385,-1.5070
2016078,296681554,953135832,4.9668,-1.5452
2016079,322821956,1012281038,5.0050,-1.4341
2016080,288372472,1042999580,4.9837,-1.4558
2016081,288505018,1066490094,4.9679,-1.4529
